location,sentiment,overall_sentiment_score
Dhamua,Positive,0.6249
Dhanbad,Negative,0.05334666666666665
Dhanbad District,Neutral,0.2982
Dhanwar,Positive,0.453475
Dhar,Positive,0.6508499999999999
Dharampur,Positive,0.4215
Dharangaon,Positive,0.4404
Dharapur,Positive,0.4215
Dharapuram,Negative,-0.5875
Dharmanagar,Negative,-0.0006500000000000117
Dharmapuri,Positive,0.55074
Dharmapuri District,Negative,-0.4624
Dharmavaram,Positive,0.40275
Dharuhera,Positive,0.4404
Dharur,Neutral,0.0
Dharwad,Neutral,0.317085
Dhekiajuli,Neutral,0.0
Dhemaji District,Neutral,0.25133125
Dhenkanal,Positive,0.49786
Dhenkanal District,Negative,-0.09340208333333332
Dhing,Positive,0.4215
Dholka,Positive,0.5719
Dhone,Positive,0.5994
Dhubri,Positive,0.43946666666666667
Dhule,Positive,0.5232666666666667
Dhule District,Positive,0.4404
Dhulian,Positive,0.431
Dhupguri,Positive,0.48015
Dhuri,Neutral,-0.0772
Diamond Harbour,Neutral,0.23763333333333336
Dibiyapur,Positive,0.4215
Dibrugarh,Positive,0.5307000000000001
Dibrugarh District,Positive,0.4023555555555556
Didwana,Positive,0.8968
Digboi,Positive,0.34
Digha Purba Medinipur District,Positive,0.44040000000000007
Dighwara,Negative,-0.3412
Dima Hasao District,Negative,-0.4023
Dimapur,Positive,0.7384384615384616
Dinabandhunagar,Positive,0.4215
Dindigul,Positive,0.6276
Dindigul District,Positive,0.5859
Dindori,Neutral,0.2202
Dinhata,Negative,0.02425000000000002
District Kushinagar,Positive,0.4404
Dogachhia Barddhaman District,Positive,0.64115
Doghat,Neutral,0.0
Doiwala,Negative,0.03425
Dokmoka,Positive,0.49269999999999997
Dombivli,Positive,0.4215
Dongar Parasia,Positive,0.4215
Dongargaon,Negative,-0.1779
Dongargarh,Positive,0.8687
Donkamokam,Negative,-0.24139999999999998
Dostpur,Positive,0.4404
Dubrajpur,Negative,0.007937500000000042
Dumka,Positive,0.5139199999999999
Dumka District,Negative,-0.5256
Dumraon,Neutral,0.26480000000000004
Dungargarh,Positive,0.4215
Dungarpur,Positive,0.44040000000000007
Durg,Positive,0.5569615384615385
Durg District,Neutral,0.0772
Durg Division,Neutral,0.0
Durgapur,Negative,0.05107487922705315
Durllabhganj,Positive,0.6249
Duru Verinag,Negative,-0.9072999999999999
East Delhi,Neutral,0.21075
East District,Negative,-0.03510000000000002
East Division,Positive,0.49269999999999997
East Godavari,Negative,0.15294666666666665
East Godavari District,Negative,0.09573022598870055
East Karbi Anglong District,Positive,0.59965
Edlapadu,Positive,0.44040000000000007
Egarkunr,Positive,0.7963999999999999
Ekangar Sarai,Positive,0.2382
Elayirampannai,Negative,-0.2263
Ellenabad,Positive,0.891
Ellora,Neutral,0.0
Eluru,Negative,-0.3384
English Bazar,Neutral,0.2916214285714286
Eravattur,Positive,0.4215
Ernakulam,Negative,0.08836538461538462
Ernakulam District,Negative,0.021483333333333354
Erode,Negative,0.061482142857142874
Erode District,Positive,0.54061
Erumaipatti,Positive,0.296
Etah,Negative,-0.05295
Etah District,Positive,0.6369
Etawah,Negative,-0.06376666666666665
Etawah District,Positive,0.4215
Faizabad,Neutral,0.3029833333333334
Faizabad District,Negative,0.018299999999999983
Falakata,Positive,0.44040000000000007
Farakka Barrage Township,Negative,0.1011
Faridabad,Negative,0.04017042160737814
Faridabad Division,Positive,0.44040000000000007
Faridpur Bareilly District,Positive,0.49269999999999997
Farrukhabad,Positive,0.4215
Farrukhabad District,Positive,0.59385
Fatehabad,Negative,-0.15575
Fatehabad District,Positive,0.4158
Fatehgarh Sahib District,Negative,-0.5256
Fatehpur Bara Banki District,Positive,0.4215
Fatehpur District,Positive,0.4215
Fatehpur Fatehpur District,Negative,-0.5849
Fatwah,Positive,0.7579
Fazilka District,Negative,-0.6474
Firozabad,Negative,0.03382333333333335
Firozabad District,Negative,-0.2755
Firozpur,Negative,0.019250000000000045
Forbesganj,Positive,0.479625
Gadag,Positive,0.2382
Gadag District,Positive,0.5994
Gadarwara,Positive,0.9125
Gadchiroli,Positive,0.4215
Gadwal,Positive,0.5048625
Gairkata,Positive,0.7717
Gajapathinagaram,Positive,0.7018
Gajapati District,Positive,0.4215
Ganaur,Positive,0.43095
Gandhidham,Negative,-0.011649999999999994
Gandhigram,Positive,0.5674
Gandhinagar,Negative,0.0854375
Gandhinagar District,Neutral,0.2155
Gangaikondan Tirunelveli District,Positive,0.34
Ganganagar,Positive,0.5292
Gangarampur,Positive,0.4215
Gangawati,Positive,0.4363
Gangnapur,Positive,0.4404
Gangtok,Positive,0.47535
Ganguvarpatti,Negative,-0.4215
Ganj Dundwara,Positive,0.7474
Ganjam,Neutral,0.0
Ganjam District,Negative,-0.006964444444444477
Ganjimutt,Neutral,0.0
Gannavaram,Negative,-0.5849
Ganwaria Tulsipur,Positive,0.4404
Garbeta,Positive,0.4404
Garh Kamalpur,Negative,-0.046099999999999974
Garhwa,Negative,0.019250000000000045
Garhwa District,Positive,0.58875
Gariaband District,Positive,0.40080000000000005
Garshyamnagar,Positive,0.7733333333333333
Garulia,Negative,-0.3818
Gauripur,Positive,0.8834
Gausganj,Neutral,0.0
Gautam Buddh Nagar,Positive,0.4442
Gautam Buddha Nagar,Negative,-0.17973333333333327
Gaya,Negative,0.023324038461538465
Gaya District,Positive,0.5880500000000001
Geedam,Positive,0.49269999999999997
Georai,Negative,-0.5927
Ghanaur,Positive,0.4927
Gharghoda,Positive,0.4404
Ghatal,Positive,0.423875
Ghatampur,Negative,-0.7548
Ghatshila,Neutral,0.0
Ghaziabad,Negative,-0.02374164513350559
Ghazipur,Neutral,0.2534705882352941
Ghazipur District,Neutral,0.261915
Ghoghardiha,Positive,0.4404
Ghoraberia,Negative,-0.4767
Ghosi,Positive,0.524875
Ghosia Bazar,Positive,0.44040000000000007
Ghughuli,Positive,0.4691
Ghulewadi,Positive,0.8968000000000002
Giddaluru,Positive,0.4404
Giridih,Negative,0.0598
Giridih District,Positive,0.479625
Goalpara,Positive,0.682188888888889
Goalpara District,Positive,0.3612
Gobardanga,Negative,-0.15166249999999998
Gobichettipalayam,Positive,0.9113
Gobindpur,Negative,-0.033450000000000035
